"","ZipCode","GEOID10","TotGrad","TotEnrl","PctEnrl","Under18_Tot","Under5_Tot","Under5_ER","Under5_Hosp","FivePlus_Tot","FivePlus_ER","Tot_ER_Visits","Tot_Hosp_Visits","AsthmaCt","Diabetes1Ct","Diabetes2Ct","DiabetesOtherCt","PctUndr5ER","PctOvr5ER","PctAsthma","PctDiabetes","CntTested","EBLL","Under6CntTested","Under6EBLL","Under18CntTested","Under18EBLL","PctEBLL","PctUnder6EBLL","PctUnder18EBLL","Better_Lat","Better_Long","SquareFeet"
"25",48201,26163520700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,6,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"26",48201,26163517500,NA,NA,NA,12,6,NA,NA,6,NA,NA,8,NA,0,0,0,NA,NA,NA,0,42,0,35,0,42,0,0,0,0,42.3532,-83.0744,22100.821554
"27",48201,26163517500,NA,NA,NA,12,6,NA,NA,6,NA,NA,8,NA,0,0,0,NA,NA,NA,0,42,0,35,0,42,0,0,0,0,NA,NA,NA
"28",48201,26163517500,NA,NA,NA,12,6,NA,NA,6,NA,NA,8,NA,0,0,0,NA,NA,NA,0,42,0,35,0,42,0,0,0,0,42.358894,-83.057777,36024.53913
"29",48201,26163517500,NA,NA,NA,12,6,NA,NA,6,NA,NA,8,NA,0,0,0,NA,NA,NA,0,42,0,35,0,42,0,0,0,0,NA,NA,7765.677603
"30",48201,26163517500,NA,NA,NA,12,6,NA,NA,6,NA,NA,8,NA,0,0,0,NA,NA,NA,0,42,0,35,0,42,0,0,0,0,NA,NA,NA
"31",48201,26163517300,NA,NA,NA,24,12,NA,8,12,NA,8,16,12,0,0,0,NA,NA,0.5,0,61,5,44,4,61,5,0.0819672131147541,0.0909090909090909,0.0819672131147541,42.3532,-83.0744,22100.821554
"32",48201,26163517300,NA,NA,NA,24,12,NA,8,12,NA,8,16,12,0,0,0,NA,NA,0.5,0,61,5,44,4,61,5,0.0819672131147541,0.0909090909090909,0.0819672131147541,NA,NA,NA
"33",48201,26163517300,NA,NA,NA,24,12,NA,8,12,NA,8,16,12,0,0,0,NA,NA,0.5,0,61,5,44,4,61,5,0.0819672131147541,0.0909090909090909,0.0819672131147541,42.358894,-83.057777,36024.53913
"34",48201,26163517300,NA,NA,NA,24,12,NA,8,12,NA,8,16,12,0,0,0,NA,NA,0.5,0,61,5,44,4,61,5,0.0819672131147541,0.0909090909090909,0.0819672131147541,NA,NA,7765.677603
"35",48201,26163517300,NA,NA,NA,24,12,NA,8,12,NA,8,16,12,0,0,0,NA,NA,0.5,0,61,5,44,4,61,5,0.0819672131147541,0.0909090909090909,0.0819672131147541,NA,NA,NA
"36",48201,26163517300,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.3532,-83.0744,22100.821554
"37",48201,26163517300,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",48201,26163517300,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.358894,-83.057777,36024.53913
"39",48201,26163517300,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7765.677603
"40",48201,26163517300,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",48201,26163521400,NA,NA,NA,13,8,NA,NA,NA,NA,NA,8,NA,0,0,0,NA,NA,NA,0,35,2,25,0,30,0,0.0571428571428571,0,0,42.3532,-83.0744,22100.821554
"42",48201,26163521400,NA,NA,NA,13,8,NA,NA,NA,NA,NA,8,NA,0,0,0,NA,NA,NA,0,35,2,25,0,30,0,0.0571428571428571,0,0,NA,NA,NA
"43",48201,26163521400,NA,NA,NA,13,8,NA,NA,NA,NA,NA,8,NA,0,0,0,NA,NA,NA,0,35,2,25,0,30,0,0.0571428571428571,0,0,42.358894,-83.057777,36024.53913
"44",48201,26163521400,NA,NA,NA,13,8,NA,NA,NA,NA,NA,8,NA,0,0,0,NA,NA,NA,0,35,2,25,0,30,0,0.0571428571428571,0,0,NA,NA,7765.677603
"45",48201,26163521400,NA,NA,NA,13,8,NA,NA,NA,NA,NA,8,NA,0,0,0,NA,NA,NA,0,35,2,25,0,30,0,0.0571428571428571,0,0,NA,NA,NA
"46",48201,26163520400,59,24,0.406779661016949,32,18,6,12,14,6,12,20,12,0,0,0,0.333333,0.428571428571429,0.375,0,62,2,54,2,59,2,0.032258064516129,0.037037037037037,0.0338983050847458,42.3532,-83.0744,22100.821554
"47",48201,26163520400,59,24,0.406779661016949,32,18,6,12,14,6,12,20,12,0,0,0,0.333333,0.428571428571429,0.375,0,62,2,54,2,59,2,0.032258064516129,0.037037037037037,0.0338983050847458,NA,NA,NA
"48",48201,26163520400,59,24,0.406779661016949,32,18,6,12,14,6,12,20,12,0,0,0,0.333333,0.428571428571429,0.375,0,62,2,54,2,59,2,0.032258064516129,0.037037037037037,0.0338983050847458,42.358894,-83.057777,36024.53913
"49",48201,26163520400,59,24,0.406779661016949,32,18,6,12,14,6,12,20,12,0,0,0,0.333333,0.428571428571429,0.375,0,62,2,54,2,59,2,0.032258064516129,0.037037037037037,0.0338983050847458,NA,NA,7765.677603
"50",48201,26163520400,59,24,0.406779661016949,32,18,6,12,14,6,12,20,12,0,0,0,0.333333,0.428571428571429,0.375,0,62,2,54,2,59,2,0.032258064516129,0.037037037037037,0.0338983050847458,NA,NA,NA
"51",48201,26163521900,25,13,0.52,45,22,9,13,23,9,18,27,7,0,0,0,0.409091,0.391304347826087,0.155556,0,21,6,14,2,16,2,0.285714285714286,0.142857142857143,0.125,42.3532,-83.0744,22100.821554
"52",48201,26163521900,25,13,0.52,45,22,9,13,23,9,18,27,7,0,0,0,0.409091,0.391304347826087,0.155556,0,21,6,14,2,16,2,0.285714285714286,0.142857142857143,0.125,NA,NA,NA
"53",48201,26163521900,25,13,0.52,45,22,9,13,23,9,18,27,7,0,0,0,0.409091,0.391304347826087,0.155556,0,21,6,14,2,16,2,0.285714285714286,0.142857142857143,0.125,42.358894,-83.057777,36024.53913
"54",48201,26163521900,25,13,0.52,45,22,9,13,23,9,18,27,7,0,0,0,0.409091,0.391304347826087,0.155556,0,21,6,14,2,16,2,0.285714285714286,0.142857142857143,0.125,NA,NA,7765.677603
"55",48201,26163521900,25,13,0.52,45,22,9,13,23,9,18,27,7,0,0,0,0.409091,0.391304347826087,0.155556,0,21,6,14,2,16,2,0.285714285714286,0.142857142857143,0.125,NA,NA,NA
"56",48201,26163520200,NA,NA,NA,11,6,NA,NA,NA,NA,NA,7,NA,0,0,0,NA,NA,NA,0,11,0,11,0,11,0,0,0,0,42.3532,-83.0744,22100.821554
"57",48201,26163520200,NA,NA,NA,11,6,NA,NA,NA,NA,NA,7,NA,0,0,0,NA,NA,NA,0,11,0,11,0,11,0,0,0,0,NA,NA,NA
"58",48201,26163520200,NA,NA,NA,11,6,NA,NA,NA,NA,NA,7,NA,0,0,0,NA,NA,NA,0,11,0,11,0,11,0,0,0,0,42.358894,-83.057777,36024.53913
"59",48201,26163520200,NA,NA,NA,11,6,NA,NA,NA,NA,NA,7,NA,0,0,0,NA,NA,NA,0,11,0,11,0,11,0,0,0,0,NA,NA,7765.677603
"60",48201,26163520200,NA,NA,NA,11,6,NA,NA,NA,NA,NA,7,NA,0,0,0,NA,NA,NA,0,11,0,11,0,11,0,0,0,0,NA,NA,NA
"61",48201,26163520200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,7,0,6,0,6,0,0,0,0,42.3532,-83.0744,22100.821554
"62",48201,26163520200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,7,0,6,0,6,0,0,0,0,NA,NA,NA
"63",48201,26163520200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,7,0,6,0,6,0,0,0,0,42.358894,-83.057777,36024.53913
"64",48201,26163520200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,7,0,6,0,6,0,0,0,0,NA,NA,7765.677603
"65",48201,26163520200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,7,0,6,0,6,0,0,0,0,NA,NA,NA
"66",48201,26163520300,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,9,0,6,0,6,0,0,0,0,42.3532,-83.0744,22100.821554
"67",48201,26163520300,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,9,0,6,0,6,0,0,0,0,NA,NA,NA
"68",48201,26163520300,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,9,0,6,0,6,0,0,0,0,42.358894,-83.057777,36024.53913
"69",48201,26163520300,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,9,0,6,0,6,0,0,0,0,NA,NA,7765.677603
"70",48201,26163520300,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,9,0,6,0,6,0,0,0,0,NA,NA,NA
"71",48201,26163518900,NA,NA,NA,46,24,8,16,22,8,16,30,24,0,0,0,0.333333,0.363636363636364,0.521739,0,100,0,78,0,96,0,0,0,0,42.3532,-83.0744,22100.821554
"72",48201,26163518900,NA,NA,NA,46,24,8,16,22,8,16,30,24,0,0,0,0.333333,0.363636363636364,0.521739,0,100,0,78,0,96,0,0,0,0,NA,NA,NA
"73",48201,26163518900,NA,NA,NA,46,24,8,16,22,8,16,30,24,0,0,0,0.333333,0.363636363636364,0.521739,0,100,0,78,0,96,0,0,0,0,42.358894,-83.057777,36024.53913
"74",48201,26163518900,NA,NA,NA,46,24,8,16,22,8,16,30,24,0,0,0,0.333333,0.363636363636364,0.521739,0,100,0,78,0,96,0,0,0,0,NA,NA,7765.677603
"75",48201,26163518900,NA,NA,NA,46,24,8,16,22,8,16,30,24,0,0,0,0.333333,0.363636363636364,0.521739,0,100,0,78,0,96,0,0,0,0,NA,NA,NA
"76",48201,26163521900,NA,NA,NA,21,11,NA,8,10,NA,8,13,NA,0,0,0,NA,NA,NA,0,12,2,9,1,10,1,0.166666666666667,0.111111111111111,0.1,42.3532,-83.0744,22100.821554
"77",48201,26163521900,NA,NA,NA,21,11,NA,8,10,NA,8,13,NA,0,0,0,NA,NA,NA,0,12,2,9,1,10,1,0.166666666666667,0.111111111111111,0.1,NA,NA,NA
"78",48201,26163521900,NA,NA,NA,21,11,NA,8,10,NA,8,13,NA,0,0,0,NA,NA,NA,0,12,2,9,1,10,1,0.166666666666667,0.111111111111111,0.1,42.358894,-83.057777,36024.53913
"79",48201,26163521900,NA,NA,NA,21,11,NA,8,10,NA,8,13,NA,0,0,0,NA,NA,NA,0,12,2,9,1,10,1,0.166666666666667,0.111111111111111,0.1,NA,NA,7765.677603
